No,Soal,Opsi,Kunci
11,"Allah SWT menciptakan manusia dari suku, ras,dan golongan yang berbeda beda agar manusia saling mengenal. Agar tercipta kerukunan dan kedamaian maka perlu mengedepankan sikap ... .","Egois;Takabur;Sombong;Tasamuh","Tasamuh"
12,"Perhatikan sikap terpuji berikut ini! 1) Tidak menganjurkan memberi makan orang miskin 2) Mencintai dan menyayangi anak yatim 3) Menghindari perbuatan riya' yang mempertontonkan amal perbuatan baik 4) Lalai terhadap kewajiban salat Pernyataan diatas yang menunjukan pengamalan perilaku terpuji sesuai dengan Surah al-Ma’un ditunjukan nomor … .","1) dan 2);3) dan 4);1) dan 3);2) dan 3)","2) dan 3)"
13,"Rasulullah SAW adalah manusia yang paling baik akhlaknya. Beliau sangat memperhatikan anak-anak yatim dan beliau juga memerintahkan kepada kita untuk selalu berbuat baik terhadap anak yatim, bahkan Rasulullah menggambarkan kedekatan dengan orang yang menyantuni anak yatim seperti ... .","jari tengah dan jari telunjuk;pagi dan malam;Makkah dan Madinah;dua bukit","dua bukit"
14,"Kekuatan-Nya tidak ada ada bandingan, tidak terbatas, dan tidak akan pernah habis, Dia Yang Maha Kuat, karena itulah Allah SWT disebut ... .","al-Muhyi;al-Mumit;al-Qawiyyu;al-Qayyum","al-Qawiyyu"
15,"Ketika proses kiamat kelak semua manusia akan dimatikan pada tiupan Malaikat Israfil. Lalu, Allah SWT akan membangkitkannya lagi pada hari yang disebut Yaumul Ba’ats. Dari pernyataan tersebut Allah SWT bisa disebut sebagai Al-Ba’ats, yaitu ... .","Maha Membangkitkan;Maha Kekal;Maha Hidup;Maha Mematikan","Maha Membangkitkan"
16,"Rafel selalu mewakili kelasnya untuk menjadi pemimpin upacara pada hari Senin dan peringatan hari besar lainnya. Rafel memiliki fisik yang kuat karena sering berolahraga dan makan makanan sehat. Sikap Rafel yang berusaha memiliki fisik yang kuat merupakan wujud teladan pada sifat Allah SWT, yaitu ... ","al-Qayyum;al-Hayyu;al-Qawiyyu;al-Mumit","al-Qawiyyu"
17,"Perhatikan pernyataan berikut! (1) Memperkuat hawa nafsu (2) Selalu mengingat kematian (3) Membiasakan diri untuk berolahraga (4) Memperbanyak amal kebaikan yang dilandasi keridhoan dari Allah SWT Perilaku mengimani Asmaul Husna al-Mumit ditunjukan oleh nomor ... .","(2) dan (3);(1) dan (2);(3) dan (4);(2) dan (4)","(2) dan (4)"
18,"Perhatikan pernyataan berikut! (1) Memperkuat hawa nafsu (2) Membiasakan diri untuk berolahraga (3) Mensyukuri hidup yang Allah SWT berikan (4) Memelihara kelangsungan hidup sesama manusia Perilaku mengimani Asmaul Husna al-Muhyi ditunjukan oleh nomor ... .","(1) dan (3);(1) dan (4);(2) dan (4);(3) dan (4)","(3) dan (4)"
19,"Penerimaan zakat fitrah adalah delapan mustahiq yang telah ditentukan dalam Al-Qur'an, tetapi sangat diutamakan untuk fakir miskin, pernyataan tersebut sangat tepat karena ... .","Manusia memiliki simpati dan empati kepada orang lain;Fakir miskin lebih membutuhkan pada hari yang bahagia;Muzaki boleh memilih siapa saja yang ada dalam delapan golongan;Hanya Orang fakir yang paling tepat mendapatkan zakat","Fakir miskin lebih membutuhkan pada hari yang bahagia"
20,"Ahmad memberikan sesuatu barang yang berharga untuk Amin. Ahmad memberikan barang tersebut karena Amin menjadi siswa yang paling rajin dan paling jujur dalam kelas. Karena itu Amin perlu mendapatkan perhargaan. Pemberian tersebut termasuk ... .","hadiah;zakat mal;sedekah;zakat fitrah","hadiah"
21,"Allah Swt menciptakan manusia ada yang berkecukupan dan kekurangan. Allah mengamanatkan kepada mereka yang berkecukupan untuk menolong orang-orang yang membutuhkan. Sehingga mereka menjadi kuat dan termotivasi untuk bangkit. Berdasarkan diskripsi di atas, maka hikmah sedekah dan infaq adalah ... .","menghapus penyakit kikir;menolak bencana dan musibah;menambah pahala yang berlipat;menolong orang yang lemah","menolong orang yang lemah"
22,"Rukun Iman adalah pondasi keimanan dari seorang muslim. Semua umat muslim harus mengamalkan rukun iman. Dengan mengaalkannya maka sesorang akan memiliki keimanan yang kuat. Jika seseorang mengabaikan atau tidak mengamalkan rukun iman, maka akan dengan mudah diguncang hatinya dengan berbagai masalah dan kegelisahan dalam keimanan. Rukun iman ada 6 yang harus diyakini dan memiliki urutan yang tetap yaitu ... .","Iman kepada: Allah, Malaikat, Kitab, Hari Kiamat, Rasul, Qada dan Qadar;Iman kepada: Allah, Kitab, Malaikat, Rasul, Hari Kiamat, Qada dan Qadar;Iman kepada: Allah, Malaikat, Kitab, Rasul, Hari Kiamat, Qada dan Qadar;Iman kepada : Allah, Rosul, Malaikat, Kitab, Hari Kiamat, Qada dan Qadar","Iman kepada: Allah, Malaikat, Kitab, Rasul, Hari Kiamat, Qada dan Qadar"
23,"Hewan yang membuat sarang di depan pintu gua tempat sembunyi Nabi Muhammad SAW ketika hijrah adalah... .","kelelawar;laba-laba;lebah;burung","laba-laba"
24,"Orang-orang muslim yang hijrah dari Makkah disambut baik oleh orang-orang penduduk Madinah. Orang-orang penduduk Madinah yang menyambut baik orang-orang muslim yang hijrah disebut kaum ... .","Ansar;Muhajirin;Kafilah;Saudagar","Ansar"
25,"Seseorang harus dapat memberi segala yang dimiliki untuk mencapai cita-cita Islam dan juga tidak menanti imbalan atas perjuangan tersebut. Sikap yang berkaitan adalah ... .","mandiri dan teguh pendirian;ulet dan percaya diri;jujur dan pekerja keras;ikhlas dan rela berkorban","ikhlas dan rela berkorban"
26,"Dalam ajaran Islam, jumlah malaikat yang wajib kita yakini dan ketahui tugasnya ada 10. Nama panggilan lain Ruh Al Qudus adalah malaikat ... .","Israfil;Jibril;Malik;Ridwan","Jibril"
27,"Hani sangat suka makan. Namun orang tuanya mengajaknya berpuasa sunnah hari Senin untuk melatihnya menahan hawa nafsu. Walaupun Hani sedang sendirian di dapur dan di meja banyak makanan dan minuman, Hani tetap berusaha untuk tidak membatalkan puasanya karena dia tahu bahwa semua amal perbuatannya akan dicatat oleh Allah Swt. Sikap Hani adalah cerminan dari Iman kepada Malaikat... . ","Jibril dan Mikail;Rakib dan Atid;Munkar dan Nakir;Mikail dan Ridwan","Rakib dan Atid"
28,"Dalam sejarah, firman Allah SWT. ditulis dengan dua bentuk berupa suhuf dan mushaf. Keduanya berasal dari akar kalimat yang sama, yaitu sahafa (menulis). Akan tetapi terdapat kesamaan dan perbedaan diantara keduanya. Perbedaanya yaitu ... .","kitab Allah berfungsi untuk menuntun manusia dalam meyakini Allah swt;Isi kitab lebih lengkap daripada isi suhuf, kitab dibukukan sedangkan suhuf tidak dibukukan;Kitab dan suhuf sama-sama wahyu dari Allah;Isi suhuf lebih lengkap dari pada isi kitab, suhuf dibukukan sedangkan kitab tidak dibukukan","Isi kitab lebih lengkap daripada isi suhuf, kitab dibukukan sedangkan suhuf tidak dibukukan"
29,"Para rasul pilihan yang diutus oleh Allah SWT mempunyai sifat wajib dan sifat mustahil yang dapat dilihat dalam kepribadian mereka pada saat menjalankan tugas yang istimewa tersebut. Mustahil jika rasul menyembunyikan kebenaran. Setiap firman yang rasul terima dari Allah SWT pasti akan disampaikan kepada para umatnya. Sifat mustahil rasul tersebut yaitu ... ","Kitman;Khianat;Baladah;Kidzib","Kitman"
30,"Wahyu yang disampaikan melalui perantara malaikat Jibril dengan proses yang tidak mudah, namun para rasul senantiasa menyampaikannya tanpa mengurangi satu huruf pun sesuai dengan surah Al Maidah ayat 67. Sifat wajib bagi para rasul yang memiliki makna sesuai narasi bernama ... .","Amanah;Fatanah;Siddiq;Tablig","Tablig"
31,"Air yang boleh untuk bersuci adalah air yang suci dan mensucikan, dibawah ini yang termasuk air yang suci dan mensucikan adalah … .","Air danau, air mata air dan air embun;Air sumur, air hujan dan air lemon;Air sungai, air salju dan air kelapa;Air laut, air hujan dan air teh","Air danau, air mata air dan air embun"
32,"Ketika akan shalat, Aldi kebingungan mencari air karena kran toilet tidak menyala. Dia sedang dalam perjalan naik kereta dan keretanya tidak berhenti, padahal waktu shalat sudah hampir habis, maka Aldi dapat bersuci dengan menggunakan debu, yang disebut … .","Berwudu;Bertoharah;Bertayamum;Mandi","Bertayamum"
33,"Perhatikan pernyataan dibawah ini! 1. Masuk Waktu Sholat 2. Islam 3. Suci dari hadats besar dan kecil 4. Berakal 5. Suci badan, tempat dan pakaian 6. Baligh 7. Menutup aurat 8. Menghadap kiblat Syarat wajib salat ditujukan nomor … .","4, 6 dan 8;1, 2 dan 3;2, 4 dan 6;5, 7 dan 8","2, 4 dan 6"
34,"Perhatikan beberapa pernyataan dibawah ini! 1. Ta’biratul ihram, sidakep, ruku dan i’tidal 2. Membaca surah Al Fatihah, i’tidal, sujud dan duduk iftirosy 3. Ta’biratul ihram, membaca surah Al Fatihah, duduk tawaruk dan membaca doa tasyahud 4. Ruku’, sujud, membaca doa duduk antara dua sujud dan membca doa terhindar dari siksa neraka 5. Sujud, duduk tawaruk, membaca solawat nabi dan salam pertama Dari pernyataan diatas, yang merupakan rukun shalat, ditunjukkan pada nomor … .","4 dan 5;2 dan 4;1 dan 3;3 dan 5","3 dan 5"
35,"Perhatikan pernyataan dibawah ini! 1. Makan, minum, buang angin, buang air kecil 2. Makan, minum, berbicara, berger-gerak tanpa sebab 3. Buang air besar, buang angin, berbicara, bergerak-gerak tanpa sebab 4. Buang air kecil, buang angin, menangis, makan Dari pernyataan diatas hal-hal yang dapat membatalkan shalat, ditunjukkan pada nomor … .","3;4;1;2","3"
36,"Puasa dibulan Ramahan adalah termasuk salah satu dari empat rukun Islam yang harus dilakukan sebagai umat Islam, sebagai perbuatan menahan rasa lapar dan haus dan agar selalu lebih dekat kepada Allah dan meningkatkan kesalehan. Rukun puasa ada 2 macam, yaitu …","Niat pada malam harinya dan menahan makan dan minum dari terbit fajar sampai tenggelam matahari;Beragama Islam dan suci dari hadas besar dan kecil;Niat pada malam harinya dan menyegerakan berbuka;Sudah masuk waktu berpuasa dan dewasa / baligh","Niat pada malam harinya dan menahan makan dan minum dari terbit fajar sampai tenggelam matahari"
37,"“Bagi setiap umat telah kami syariatkan penyembelihan (kurban) agar mereka menyebut Nama Allah atas binatang ternak yang dianugrahkan-Nya kepada mereka. Tuhanmu ialah Tuhan Yang Maha Esa, maka berserahdirilahkepada-Nya. Sampaikanlah (Nabi Muhammad) kabar gembira kepada orang-orang yang rendah hari lagi taat (kepada Allah).” Dalil yang menguatkan hukum kurban adalah firman Allah swt dalan surah … .","QS. Al Hajj (22) : 24;QS. Al Hajj (22) : 43;QS. Al Hajj (22) : 44;QS. Al Hajj (22) : 34","QS. Al Hajj (22) : 34"
38,"Perhatikan pernyataan berikut! 1) Islam 2) Baligh 3) Berakal 4) Kekurangan harta 5) Kelebihan harta Pernyataan diatas yang termasuk syarat berkurban ditunjukan nomor … .","1),2),3),4);2),3),4),5);1),2),3),5);1),3),4),5)","1),2),3),5)"
39,"Ahmad seorang pemuda miskin dan berpenyakit kulit. Karena penyakitnya itu tubuhnya menjadi belang-belang. Ibunya seorang tua lumpuh. Ahmad senantiasa merawat dan memenuhi semua permintaan ibunya, hanya satu permintaan yang sulit ia kabulkan, yaitu ibunya ingin mengerjakan ibadah haji Ahmad berusaha memenuhinya. Berdasarkan kisah tersebut menunjukan perilaku kepada orang tuanya yaitu... .","simpati;santun;patuh;hormat","patuh"
40,"Perhatikan pernyataan dibawah ini! 1) Arsya membiarkan temannya melaksanakan ibadahnya sesuai dengan agamanya 2) Rahma mengajak orang lain yang sudah bergama agar pindah keagamanya dengan cara paksa 3) Anin menyadari beragama Islam itu hidayah. Maka ia tidak memaksakan orang lain untuk beragama dengannya 4) Herman menerima ibadah agama lain kedalam agamanya agar timbul kesatuan agama Perilaku yang paling tepat dengan toleransi adalah... .","1) dan 3);4) dan 3);2) dan 1);3) dan 2)","1) dan 3)"
41,"Abu Bakar diberikan nama oleh Nabi Muhammad Saw. setelah ia masuk Islam. Abu Bakar tanpa ragu untuk memeluk Islam setelah ia mendengar cerita langsung bahwa Rasulullah Saw telah menerima wahyu dari Allah Swt. Sehingga ia juga termasuk dari As-Sabiqunal Awwalun yang berarti … .","golongan orang yang pertama kali masuk Islam;golongan orang yang taat;golongan orang yang pemberani;golongan yang pertama menolak Islam","golongan orang yang pertama kali masuk Islam"
42,"Merasa sangat tidak enak hati seperti hina atau segan melakukan sesuatu karena ada rasa hormat, agak takut, kepada pihak lain atau dengan kata lain sifat yang mendorong seseorang merasa tidak enak apabila meninggalkan kewajiban-kewajiabannya sebagai hamba Allah Swt dan meninggalkan larangan-larangan-Nya disebut ... .","malu;empati;simpati;rendah diri","malu"
43,"Selama kurang lebih dua puluh tujuh bulan Abu Bakar berkuasa, waktunya hampir dihabiskan untuk memerangi orang-orang murtad ini. Perang ini dilakukan bukan karena memerangi keyakinan, tetapi karena orang-orang ini melakukan kegiatan pembangkangan politik dan tidak mau tunduk pada kekuasaan Islam. Peperangan dengan kaum murtad pada zaman Abu Bakar dinamakan ... .","Perang Yamamah;Perang Tabuk;Perang Riddah;Perang Uhud","Perang Riddah"
44,"Para Nabi dan Rasul adalah sosok manusia yang sudah semestinya kita ikuti, kita teladani perilaku-perilaku baiknya. Seperti Nabi Musa as. seorang Nabi dan Rasul yang perlu kita teladani keberaniannya untuk membela yang benar. Nabi Muhammad saw menerima Al-Qur'an sebagai pedoman hidup manusia, umat yang terakhir. Al Qur'an menjelaskan bahwa Nabi Muhammad saw. sebagai pembawa agama Islam ke muka bumi ini disebut sebagai Rahmatan lil aalamiin (rahmat bagi seluruh alam). Sekilas kisah tersebut diatas menjelaskan bahwa Nabi sebagai rahmat bagi seluruh alam contoh perilaku yang dapat diterapkan dalam kehidupan sehari-hari adalah ... ","membiarkan apa yang ada di sekitar kita rusak;menghormati sesama makhluk hidup;suka berperang;menggunakan kesempatan untuk menghabiskan fasilitas dunia","menghormati sesama makhluk hidup"
45,"Musim hujan masih berlangsung, di beberapa daerah terjadi banjir dan tanah longsor, banyak warga yang terpaksa mengungsi ke tempat yang lebih aman. Para korban bencana membutuhkan banyak bantuan, seperti pakaian, bahan makanan, obat-obatan dan lain-lain. Ringkasan cerita di atas membutuhkan sikap … .","simpatik;toleransi;rendah hati;sederhana","simpatik"
46,"Saat ini, beberapa jenis spesies hewan, seperti singa, gajah, ikan paus dll telah mengalami penurunan jumlah populasinya, bahkan sudah sangat langka untuk dijumpai dan yang lebih menyedihkan sudah banyak hewan yang punah dari muka bumi ini. Menurut kalian apa yang harus kita lakukan adalah … .","melestarikan;memburu untuk diambil manfaatnya;membiarkan kepunahan terjadi;menangkap untuk dipelihara","melestarikan"
47,"Memiliki berbudi luhur yang tinggi. Seseorang yang memiliki akhlak terpuji ini, memiliki jiwa kesatria di mana ia akan membela kebenaran. Selain itu, berbudi luhur yang tinggi ditunjukkan dengan tidak mudah putus asa sebelum mencapai tujuan yang dikehendakinya. Tingkah laku yang termasuk ke dalam akhlak terpuji dari narasi diatas yaitu ... .","Al Amanah;Al Hilmu;Al ‘Awfu;Al Muru'ah","Al Muru'ah"
48,"Kekhalifahan Islam pertama setelah masa khulafaur rasyidin yang memerintah di Jazirah Arab dan sekitarnya (beribu kota di Damaskus). Nama dinasti ini merujuk kepada Ummayah bin'Abd asy-Syams, kakek buyut dari khalifah pertama Dinasti Umayyah, yaitu Muawiyah bin Abu Sufyan atau disebut juga dengan Muawiyah I. Dinasti tersebut didirikan pada tahun ... .","41 H / 662 M;43 H / 664 M;42 H / 663 M;40 H / 661 M","40 H / 661 M"
49,"Berikut ini pernyataan yang tepat berkaitan dengan permintaan maaf adalah... .","meminta maaf sebaiknya dilakukan ketika hari raya sebagai bagian dari budaya masyarakat Indonesia;meminta maaf hanya dilakukan sebagai bentuk kesopanan kepada orang lain;meminta maaf dilakukan karena menyadari perbuatan salah dan menyerahkan sepenuhnya kepada orang yang telah dianiaya;meminta maaf dilakukan oleh orang yang lebih muda kepada orang yang lebih tua","meminta maaf dilakukan karena menyadari perbuatan salah dan menyerahkan sepenuhnya kepada orang yang telah dianiaya"
50,"Kata maaf dalam Al-Qur'an disebut al-Afwu, arti Al-Afwu adalah... .","menghapus;menutup;menyesal;zalim","menghapus"
51,"Seseorang hidupnya penuh dengan maksiat hampir tidak pernah beramal saleh. Ia meninggal satu bulan setelah menganiaya tetangganya. Ia belum sempat menyatakan penyesalan. Saudara-saudaranya pun tidak ada yang menyatakan penyesalan untuknya. Menurut Sabda Rasulullah saw, yang akan terjadi dengan orang tersebut di akhirat adalah ... .","menyalahkan syetan yang telah menggodanya;akan mencari-cari anak dan keluarganya;memohon ampun kepada Allah;menanggung dosa-dosa orang yang dianiaya","menanggung dosa-dosa orang yang dianiaya"
52,"Segala atau kegiatan yang tidak dizinkan, tidak dibolehkan, atau dilarang untuk digunakan atau dilaksanakan serta menyebabkan pelakunya mendapat dosa disebut... .","halal;haram;makruh;mubah","haram"
53,"Sumber hukum utama dalam menentukan halal dan haram adalah al-Qur'an, sedangkan sumber hukum kedua setelah al-Qur'an adalah ... .","Taurat;Al-Hadits;Al-Qur'an;Ijtihad","Al-Hadits"
54,"Berikut ini pernyataan yang tepat mengenai Al-Qur'an sebagai sumber hukum utama adalah ...","Segala yang diharamkan menurut al-Qur'an merupakan adalah halal menurut al-Hadis;Segala yang dihalalkan dalam Al-Qur'an adalah pasti halalnya dan segala hal yang diharamkan dalam Al-Qur'an maka sudah pasti haramnya;Al-Qur'an menjelaskan hal-hal yang tertulis dalam al-Hadis;Segala yang dihalalkan menurut al-Qur'an belum tentu halal menurut al-Hadis","Segala yang dihalalkan dalam Al-Qur'an adalah pasti halalnya dan segala hal yang diharamkan dalam Al-Qur'an maka sudah pasti haramnya"
55,"Ali bin Abi Ṭalib mengatakan dan bersumpah “ Allah menurunkan nama Abu Bakar dari langit: al-Ṣiddiq”. Abu Bakar mendapat gelar al-Ṣiddiq setelah nabi Muhammad SAW mengalami peristiwa ... .","Fathu Makkah;Baitul Maqdis;Syaqqu Shadr;Isra Mi'raj","Isra Mi'raj"
56,"Abu Bakar dengan hartanya memerdekakan tujuh budak yang disiksa karena memeluk Islam. Budak yang melantunkan Adzan yang bernama... .","Thalhah;Abdurrahman;Bilal bin Rabbah;Sa'ad bin Abi Waqas","Bilal bin Rabbah"
57,"Setelah menjadi Khalifah, Umar bin Khattab diberi gelar …","Amirul Mukminin;Babul ilm;Asadullah;Al Amin","Amirul Mukminin"
58,"Penanggalan kalender Hijriyah, dimulai dari Hijrah Nabi Muhammad Saw. dari Mekah ke Madinah. Hal tersebut dimulai pada masa khalifah ... .","Usman bin Affan;Ali bin Abi Thalib;Abu Bakar;Umar bin Khatab","Umar bin Khatab"
59,"Setiap ibadah yang ikhlas hanya mengharap ridha Allah Swt. memiliki hikmah bagi orang yang melaksanakannya. Salah satu hikmah dari melaksanakan puasa sunnah adalah... .","membantu tubuh menjadi lebih cepat lelah;membuat seseorang merasa lebih lapar sepanjang hari;mengurangi kesempatan untuk beribadah dengan baik;melatih kesabaran dan meningkatkan ketakwaan kepada Allah","melatih kesabaran dan meningkatkan ketakwaan kepada Allah"
60,"Puasa yang apabila dikerjakan mendapat pahala dan bila tidak dikerjakan tidak mendapat dosa merupakan pengertian dari … .","puasa wajib;puasa sunah;puasa makruh;puasa haram","puasa sunah"
61,"Ada beberapa macam puasa sunnah yang bisa kita laksanakan. Berikut ini yang termasuk puasa sunnah, kecuali … .","puasa arafah;puasa Ramadhan;puasa syawal;puasa dawud","puasa Ramadhan"
62,"Sikap yang mencerminkan pengamalan puasa sunnah dalam kehidupan sehari-hari adalah... .","mengabaikan puasa sunnah karena merasa tidak ada manfaatnya;melakukan puasa sunnah secara rutin seperti puasa Senin-Kamis;berpuasa hanya saat ada keinginan tanpa memperhatikan niat;berpuasa tetapi tetap berkata kasar dan tidak menjaga perilaku","melakukan puasa sunnah secara rutin seperti puasa Senin-Kamis"
63,"Ali bin Abi Ṭalib merupakan seorang khalifah yang memiliki sifat zuhud dan hidup sederhana. Beliau merupakan seorang perwira yang sangat cerdas, cekatan, teguh pendirian dan sangat pemberani. Berkaiatan dengan sikap yang dimilikinya, sehingga Ali bin Abi Ṭalib dikenal dengan “Asadullah” yang artinya … ","kekasih Allah;singa Allah;pesuruh Allah;pedang Allah","singa Allah"
64,"Suatu sore, Dani bermain ke rumah pamannya yang tinggal di desa. Di halaman rumah, Dani melihat seekor anjing peliharaan sedang berlari-lari kecil. Karena gemas, Dani pun mencoba mendekati dan memegang kepala anjing tersebut. Anjing itu menjilat tangan Dani. Saat pulang ke rumah, Dani langsung berwudu untuk salat tanpa mencuci tangannya terlebih dahulu. Keesokan harinya, Dani menceritakan kejadian itu kepada gurunya, Bu Siti. Setelah mendengar cerita tersebut, Bu Siti menjelaskan bahwa air liur anjing tergolong najis … .","kubro;mughalladhah;mukhaffafah;mutawassithah","mughalladhah"
65,"Perhatikan pernyataan berikut! 1) Qiran, wukuf, tamattu’ 2) Qiram, ifrad, tawaf 3) Qiran, ifrad, tamattu 4) Qiran, ihram, tawaf Pernyataan diatas yang termasuk macam-macam haji ditunjukan nomor … .","2);3);4);1)","3)"
66,"Kegiatan yang dilaksanakan dengan berdiam di Arafah dan merupakan puncak dari ibadah haji tepatnya pada tanggal 9 Dzulhijjah sampai 10 Dzulhijjah adalah … .","tawaf;ihram;sa’i;wukuf","wukuf"
67,"Perhatikan ayat di bawah ini! Terjemahan dari ayat di samping yang tepat adalah... . Gambar Tanpa Teks","yang menciptakan, lalu menyempurnakan (ciptaan-Nya);yang menentukan kadar (masing-masing) dan memberi petunjuk;sucikanlah nama Tuhanmu Yang Maha Tinggi;dan yang menumbuhkan (rerumputan) padang gembala","yang menentukan kadar (masing-masing) dan memberi petunjuk"
68,"Arti kata لا إكْرَاهَ فِي الدِّينِ adalah ... .","tidak ada paksaan dalam beramal;tidak ada paksaan dalam bekerja;tidak ada paksaan dalam berpuasa;tidak ada paksaan dalam agama","tidak ada paksaan dalam agama"
69,"Perhatikan ayat di bawah ini! Ayat tersebut mengandung hukum bacaan Izhar Halqi karena ... . Gambar Tanpa Teks","nun mati bertemu dengan salah satu huruf hijaiyah yaitu ra;dhomah tanwin bertemu dengan salah satu huruf hijaiyah yaitu kho;huruf kha bertemu dengan huruf ra sukun;huruf wawu bertemu salah satu huruf hijaiyah yaitu alif dan nun mati","dhomah tanwin bertemu dengan salah satu huruf hijaiyah yaitu kho"
70,"Terdapat dua macam ikhfa, yaitu ikhfa haqiqi dan ikhfa syafawi, yang tentunya kedua ikhfa’ tersebut berbeda. Huruf ikhfa’ haqiqi terdiri dari ... .","huruf;huruf hijaiyah;antara lain huruf;yaitu huruf","huruf hijaiyah"
71,"Suatu lafal dibaca Mad Jaiz Munfasil jika ... .","Mad Wajib Muttasil bertemu huruf hamzah di lain kata;Mad Asli bertemu huruf hamzah di lain kata;Mad Asli bertemu huruf hamzah dalam satu kata;Mad Wajib Muttasil bertemu huruf hamzah dalam satu kata","Mad Asli bertemu huruf hamzah di lain kata"
72,"Perhatikan kata di bawah ini! Mengandung hukum bacaan ... . Gambar Tanpa Teks","Idgam Bigunah;Izhar Syafawi;Idgam Bilagunah;Ikhfa Syafawi","Ikhfa Syafawi"
73,"Mad Tabi'i bertemu dengan huruf hamzah di dalam satu kata disebut ... .","Mad Wajib Muttasil;Mad Jaiz Munfasil;Mad ‘Arid Lissukun;Mad Lazim Musaqalkilmi","Mad Wajib Muttasil"
74,"Tempat keluarnya huruf dari ujung lidah yaitu ... . Gambar Tanpa Teks","huruf;Huruf;huruf;Huruf","Huruf"
75,"Perhatikan kata di bawah ini! Kata tersebut mengandung hukum bacaan ... . Gambar Tanpa Teks","Mad ‘Arid Lissukun;Mad Silah;Mad Jaiz Munfasil;Mad Lin","Mad Lin"
76,"Manakah kata berikut yang mengandung bacaan Mad Lin?","يُوسُفُ;إِنَّا;قَالَ;مَوْتٌ","مَوْتٌ"
