No,Soal,Opsi,Kunci
27,"Arti 'Bismillahirrahmanirrahim' adalah…","Allah adalah Esa;Dengan nama Allah Yang Maha Pengasih, Maha Penyayang;Segala puji bagi Allah;Aku bersaksi tiada Tuhan selain Allah","Dengan nama Allah Yang Maha Pengasih, Maha Penyayang"
28,"Tanda tasydid berarti huruf dibaca…","panjang;mati;pendek;dobel","dobel"
29,"Cara menghilangkan hadas kecil adalah…","Wudu;Membersihkan najis;Berpuasa;Membersihkan lingkungan","Wudu"
30,"Setelah tergoda iblis, Nabi Adam a.s. kemudian…","Menolak perintah Allah;Bersembunyi;Menyalahkan iblis;Memohon ampun kepada Allah","Memohon ampun kepada Allah"
31,"Surah Al-A’la termasuk…","madaniyah;makkiyah;musawah;mutasyabihat","makkiyah"
32,"Asmaul Husna 'Al-Gaffar' artinya Allah…","Menyayangi;Mengampuni dosa;Mengatur alam;Memberi rezeki","Mengampuni dosa"
33,"Hikmah memaafkan adalah…","Menjauhkan dari Allah;Menimbulkan dendam;Mempererat ukhuwah;Menghindari ibadah","Mempererat ukhuwah"
34,"Takdir mu’allaq adalah…","Takdir tak bisa diubah;Takdir akhirat;Takdir bisa berubah dengan doa;Takdir nabi/rasul","Takdir bisa berubah dengan doa"
35,"Umar bin Khattab mendapat gelar…","Al-Gaffar;Al-Faruq;Al-Wahid;Al-Shiddiq","Al-Faruq"
36,"Nun mati pada 'عند الله' dibaca samar karena…","Bertemu hamzah;Termasuk iqlab;Bertemu dal (ikhfa);Ada idgham bighunnah","Bertemu dal (ikhfa)"
37,"Puasa sunah 9 Zulhijjah adalah…","Puasa Daud;Puasa Arafah;Puasa Asyura;Puasa Syawal","Puasa Arafah"
38,"Istilah bersuci dari hadas/najis adalah…","Membersihkan lingkungan;Salat;Tartil;Thaharah","Thaharah"
39,"Pengumpulan mushaf pertama kali dilakukan pada masa…","Umar;Utsman;Ali;Abu Bakar","Abu Bakar"
40,"Takdir pasti seperti kematian disebut…","Kesuksesan;Kematian;Kesehatan;Rezeki","Kematian"
41,"Rukun utama wudu sebelum sah adalah…","Membaca hamdalah;Niat dalam hati;Membaca Qur’an;Mengusap debu","Niat dalam hati"
42,"Nun bertasydid dalam Q.S. An-Nas ayat pertama hukumnya…","Ghunnah;Iqlab;Idgham;Ikhfa","Ghunnah"
43,"Nabi yang menyembuhkan orang buta dan menghidupkan orang mati adalah…","Ibrahim;Musa;Isa;Yusuf","Isa"
44,"Komponen lingkungan biotik adalah…","Manusia/hewan;Udara/cahaya;Bangunan;Air","Manusia/hewan"
45,"Contoh menjaga kebersihan adalah…","Cuci tangan;Hafal Asmaul Husna;Basmalah;Syahadat","Cuci tangan"
46,"Waqaf pada 'قل هو الله أحد الله الصمد' hukumnya…","Qalqalah Sughra;Mad;Izhar;Qalqalah Kubra","Mad"
47,"Sahabat bergelar Ash-Shiddiq adalah…","Umar;Abu Bakar;Utsman;Ali","Abu Bakar"
48,"Puasa Daud dilakukan dengan cara…","Hanya Ramadan;Sehari berpuasa sehari tidak;Enam hari Syawal;10 Muharram","Sehari berpuasa sehari tidak"
49,"Al-Qur’an disatukan dalam mushaf resmi disebut…","Kalender Hijriyah;Mushaf Utsmani;Kota Kufah;Ilmu nahwu","Mushaf Utsmani"
50,"Jika lupa basmalah sebelum wudu, agar sempurna bisa…","Basmalah di akhir;Ulang dari awal;Syahadat;Lanjut wudu tanpa basmalah","Basmalah di akhir"
51,"Ijtihad adalah proses pencarian hukum Islam oleh ulama untuk menjawab masalah baru yang belum ada nashnya. Ijtihad disebut sebagai…","Upaya menetapkan hukum berdasar Qur’an & Hadis;Membaca Qur’an tartil;Menjaga kebersihan;Puasa sunah","Upaya menetapkan hukum berdasar Qur’an & Hadis"
52,"Q.S. Al-A’la ayat 14 'قد أفلح من تزكى' menunjukkan keberhasilan hidup ditentukan oleh…","Bersuci dari dosa;Salat;Puasa;Membaca Qur’an","Bersuci dari dosa"
53,"Hikmah beriman pada takdir adalah…","Menghindari usaha;Sabar dalam ujian;Takut berlebihan;Menjauh dari Allah","Sabar dalam ujian"
54,"Huruf 'kha' keluar dari…","Tenggorokan;bibir;lidah;hidung","Tenggorokan"
55,"Kota Kufah jadi pusat ilmu pada masa…","Abu Bakar;Ali;Utsman;Umar","Ali"
56,"Qada berarti…","Ketetapan Allah sejak azali;Usaha manusia;Doa rezeki;Perwujudan takdir","Ketetapan Allah sejak azali"
57,"'غاسق إذا' tidak dibaca idgham bighunnah karena…","Ada huruf qalqalah di tengah;Hamzah bukan huruf idgham;Dibaca waqaf;Izhar halqi","Izhar halqi"
58,"Huruf yang tidak bisa disambung adalah…","ba;mim;zai;nun","zai"
59,"Peninggalan administratif Umar bin Khattab adalah…","Masjid Nabawi;Buku nahwu;Kalender Hijriyah;Mushaf Utsmani","Kalender Hijriyah"
60,"Al-Wahid berarti Allah…","Maha Penyayang;Maha Pengasih;Maha Pengampun;Maha Tunggal","Maha Tunggal"
61,"Q.S. Al-Ma’un ayat 4 menegur…","Orang yang menolak zakat;Tidak haji;Tidak puasa Ramadan;Salat tapi lalai/riya","Salat tapi lalai/riya"
62,"Sedekah berbeda dengan zakat karena…","Wajib fakir miskin;Rutin tiap bulan;Hanya Ramadan;Sukarela kapan saja","Sukarela kapan saja"
63,"Hikmah kisah turunnya Adam ke bumi…","Manusia tak bertanggung jawab;Malaikat tak bisa menuntun;Pentingnya taubat;Bebas berbuat salah","Pentingnya taubat"
64,"Mengetahui makhraj huruf penting agar…","Tilawah cepat;Bacaan fasih sesuai tajwid;Makna mudah;Hafalan lancar","Bacaan fasih sesuai tajwid"
65,"Tayamum dilakukan dengan cara…","Basuh wajah dengan debu;Usap seluruh tubuh;Tepuk debu ke wajah & tangan;Cuci tangan sampai siku","Tepuk debu ke wajah & tangan"
66,"Pengaruh terbesar Umar bin Khattab sebagai Al-Faruq…","Susun kalender Hijriyah;Satukan Qur’an;Bangun Kufah;Ilmu nahwu","Susun kalender Hijriyah"
67,"Q.S. Al-Kafirun ayat 6 mengajarkan prinsip…","Tidak kerja sama non-Muslim;Toleransi;Hindari pergaulan non-Muslim;Sembunyi identitas agama","Toleransi"
68,"Unsur abiotik misalnya…","Mikroorganisme;Air/cahaya/udara;Manusia/hewan;Tumbuhan/hewan","Air/cahaya/udara"
69,"Permintaan maaf mulia cirinya…","Disampaikan kesal;Hanya bila diminta;Dengan penyesalan sungguh & perbaikan;Lewat perantara","Dengan penyesalan sungguh & perbaikan"
70,"'من شر' pada Q.S. Al-Falaq ayat 2 hukumnya…","Idzhar halqi;Idgham bighunnah;Iqlab;Ikhfa","Ikhfa"
71,"Hikmah puasa Ayyamul Bidh…","Meningkatkan imun;Menjaga takwa;Menghapus dosa besar otomatis;Mengganti Ramadan","Menjaga takwa"
72,"Huruf 'ta' termasuk…","Qalqalah;Tarqiq;Isti’la;Tafkhim","Tarqiq"
73,"Pentingnya memahami halal-haram…","Agar hidup sesuai syariat;Bebas pilih ibadah;Tak perlu tanya ulama;Tak langgar hukum negara","Agar hidup sesuai syariat"
74,"Dampak pelestarian lingkungan…","Tambah bahan kimia;Keseimbangan ekosistem;Turunkan penduduk;Kurangi pertanian","Keseimbangan ekosistem"
75,"Sikap hamba memahami Al-Samad…","Andalkan diri;Ibadah saat nikmat;Bergantung manusia;Selalu tawakal","Selalu tawakal"
76,"Konsekuensi Adam jadi khalifah…","Harus jaga bumi;Bebas berbuat;Tak boleh tinggal di bumi;Wajib jadi nabi","Harus jaga bumi"
77,"Niat puasa sunah boleh dilafalkan…","Sebelum tidur;Sebelum subuh;Setelah Zuhur;Sesudah berbuka","Sebelum subuh"
78,"Keutamaan hadiah adalah…","Hubungan harmonis & kasih sayang;Tambah cemburu;Hindari zakat;Tunjuk status sosial","Hubungan harmonis & kasih sayang"
79,"Penting memperhatikan tasydid agar…","Ganti panjang pendek;Hias kaligrafi;Bacaan cepat;Tidak salah tajwid/makna","Tidak salah tajwid/makna"
80,"Kebersihan diri & iman…","Tak ada kaitan;Hanya penting salat;Urusan pribadi;Cermin iman & spiritual","Cermin iman & spiritual"
81,"Khalifah yang bentuk angkatan laut pertama adalah…","Umar;Abu Bakar;Utsman;Ali","Utsman"
82,"Al-A’fuw berarti Allah…","Maha Tunggal;Maha Pengampun;Maha Hapus Dosa;Maha Pengasih","Maha Hapus Dosa"
83,"Hukum tajwid pada 'خلق' adalah…","Idgham bighunnah;Izhar syafawi;Ikhfa syafawi;Qalqalah","Qalqalah"
84,"Jariah berarti…","Sedekah berlanjut;Hapus dosa;Ilmu maksiat;Kebaikan sekali","Sedekah berlanjut"
85,"Di Jabal Rahmah Nabi Adam & Hawa…","Makan buah khuldi;Tolak perintah Allah;Berpisah;Dipertemukan kembali","Dipertemukan kembali"
86,"Huruf 'mim' keluar dari…","hidung;tenggorokan;bibir;lidah","bibir"
87,"Lingkungan hidup adalah…","Hanya makhluk hidup;Hanya benda mati;Hanya tumbuhan;paduan biotik & abiotik","paduan biotik & abiotik"
88,"Manfaat puasa Asyura…","Kurangi takwa;Dekatkan Allah;Ampuni dosa kecil setahun;Jauhkan Allah","Ampuni dosa kecil setahun"
89,"Arti Ar-Rahman adalah…","Maha Penyayang;Maha Tunggal;Maha Pengampun;Maha Pengasih","Maha Penyayang"
90,"Pesan utama Q.S. Al-Ma’un ayat 2 adalah…","Santuni yatim;Salat;Zakat;Puasa","Santuni yatim"
91,"Fungsi tanda sukun adalah…","Bunyi u;Vokal;Huruf mati;Huruf dobel","Huruf mati"
92,"Manfaat peduli lingkungan…","Sehat;Polusi;Kurang penghasilan;Rusak indah","Sehat"
93,"Ciri taubat nasuha…","Minta maaf;Penyesalan tidak sungguh;Penyesalan sungguh tak ulangi;Tartil","Penyesalan sungguh tak ulangi"
94,"Puasa enam hari Syawal disebut…","Asyura;Daud;Syawal;Arafah","Syawal"
95,"Hukum tajwid pada 'محمد رسول الله' adalah…","Idgham bilaghunnah;Iqlab;Ikhfa;Ghunnah","Idgham bilaghunnah"
96,"Rukun wudu adalah…","Hafal Qur’an;Syahadat;Basuh muka;Hamdalah","Basuh muka"
97,"Tangan di atas lebih baik maksudnya…","Memberi untuk pribadi;Tangan bawah lebih baik;Hanya keluarga;Pemberi lebih baik dari penerima","Pemberi lebih baik dari penerima"
98,"Akhlak adalah…","Merugikan;Hindari ibadah;Perilaku sesuai Islam;Larangan syariat","Perilaku sesuai Islam"
99,"Sikap Abu Bakar saat Isra’ Mi’raj menunjukkan…","Kota Kufah;Isra Mi’raj;Kalender Hijriyah;Mushaf Utsmani","Isra Mi’raj"
100,"Nun bertasydid dalam Q.S. An-Nas hukumnya…","Idgham bilaghunnah;Iqlab;Ikhfa;Ghunnah","Ghunnah"
