No,Soal,Opsi,Kunci
42,"Gelar Al-Faruq diberikan kepada… .","Khalifah Abu Bakar karena kejujurannya;Khalifah Umar bin Khattab karena keadilannya;Khalifah Utsman bin Affan karena kedermawanannya;Khalifah Ali bin Abi Talib karena keberaniannya","Khalifah Umar bin Khattab karena keadilannya"
43,"Puasa Senin-Kamis termasuk puasa… .","makruh karena sulit dilakukan rutin;wajib karena diwajibkan seperti Ramadan;haram karena mengurangi kewajiban lain;sunnah karena dianjurkan Rasulullah","sunnah karena dianjurkan Rasulullah"
44,"Lingkungan abiotik menurut ajaran Islam harus dijaga karena… .","tidak memengaruhi kehidupan makhluk hidup;hanya digunakan untuk kepentingan manusia;merupakan amanah Allah untuk keseimbangan alam;tidak termasuk dalam tanggung jawab muslim","merupakan amanah Allah untuk keseimbangan alam"
45,"Cara menjaga kebersihan lingkungan yang sesuai ajaran Islam adalah… .","membaca Al-Qur'an untuk membersihkan hati;membuang sampah di sungai untuk aliran air;melakukan penghijauan untuk menjaga ekosistem;mengucapkan syahadat untuk menjaga iman","melakukan penghijauan untuk menjaga ekosistem"
46,"Najis menurut ajaran Islam harus disucikan karena… .","tidak memengaruhi keimanan seseorang;merupakan tanda baca huruf hijaiyah;hanya berpengaruh pada kebersihan fisik;menghalangi sahnya ibadah seperti salat","menghalangi sahnya ibadah seperti salat"
47,"Khalifah Ali bin Abi Talib berjasa dalam… .","memajukan ilmu pengetahuan seperti nahwu;memerangi kaum murtad di masa awal Islam;menyusun kalender Hijriyah untuk umat Islam;menyatukan mushaf Al-Qur'an secara resmi","memajukan ilmu pengetahuan seperti nahwu"
48,"Harakat dammah pada huruf ""ta"" menghasilkan bunyi… .","tu;ti;ta;to","tu"
49,"Rukun iman yang kelima berkaitan dengan keyakinan terhadap… .","malaikat-malaikat Allah;kitab-kitab Allah;rasul-rasul Allah;hari kiamat","hari kiamat"
50,"Mengapa Nabi Nuh a.s. membangun bahtera atas perintah Allah?","untuk menyelamatkan kaum beriman dari banjir besar;untuk membuktikan mukjizat kepada kaumnya;untuk melawan musuh yang menentang dakwah;untuk bepergian ke negeri lain menyebarkan agama","untuk menyelamatkan kaum beriman dari banjir besar"
51,"Perhatikan potongan ayat berikut! خَلَقَ الْإِنسَانَ (QS. Al-'Alaq: 2) Apa hukum nun mati pada kata ""الْإِنسَانَ""?","Ikhfa karena ada nun sukun bertemu sin;idgham bighunnah karena nun sukun bertemu ya;izhar syafawi karena mim sukun bertemu waw;ikhfa karena nun sukun bertemu ha","izhar syafawi karena mim sukun bertemu waw"
52,"Zakat wajib diberikan kepada 8 golongan mustahik. Jika seseorang memberikan harta kepada orang yang tidak termasuk mustahik, apakah zakatnya sah?","sah, karena niatnya sudah ikhlas;tidak sah, kecuali diberikan untuk haji;sah, jika hartanya lebih dari nisab;tidak sah, karena tidak sesuai syariat","tidak sah, karena tidak sesuai syariat"
53,"Dalam Q.S. Al-Ikhlash ayat 4, ""وَلَمْ يَكُنْ لَهُ كُفُوًا أَحَدٌ"" memiliki hukum tajwid…","mad arid lissukun karena huruf mad diikuti huruf yang dibaca sukun;izhar halqi karena nun sukun bertemu ha;Idzhar syafawi karena mim sukun bertemu ya;ikhfa syafawi karena mim sukun bertemu ba","Idzhar syafawi karena mim sukun bertemu ya"
54,"Hikmah puasa menurut Q.S. Al-Baqarah ayat 183 adalah… .","meningkatkan ketakwaan melalui pengendalian diri;menimbulkan kesombongan atas ibadah yang dilakukan;mengurangi kesehatan untuk mendekatkan diri kepada Allah;menjauhkan dari nikmat Allah agar lebih bersyukur","meningkatkan ketakwaan melalui pengendalian diri"
55,"Huruf hijaiyah ""ha"" keluar dari bagian…","tenggorokan bagian dalam (halq);rongga hidung dengan getaran;bibir atas dan bawah yang rapat;ujung lidah yang menyentuh gigi atas","tenggorokan bagian dalam (halq)"
56,"Khalifah Umar bin Khattab menyusun kalender Hijriyah untuk….","menghitung zakat mal setiap tahun;memudahkan perdagangan antarnegara;menandai tahun hijrah Rasulullah ke Madinah;menentukan waktu salat lima waktu","menandai tahun hijrah Rasulullah ke Madinah"
57,"Qada dan qadar dalam Islam mengajarkan bahwa…","ketetapan Allah sejak azali diwujudkan melalui qadar;usaha manusia tidak memengaruhi qadar Allah;manusia bebas menentukan nasibnya tanpa ketetapan Allah;doa manusia dapat mengubah semua ketetapan Allah","ketetapan Allah sejak azali diwujudkan melalui qadar"
58,"Huruf hijaiyah yang selalu disambung dengan huruf setelahnya dalam tulisan adalah… .","mim, karena selalu di tengah kata;dal, karena bentuknya tidak berubah;alif, karena tidak bisa berdiri sendiri;ra, karena selalu diikuti huruf mad","alif, karena tidak bisa berdiri sendiri"
59,"Khalifah Utsman bin Affan berjasa memperluas… .","masjid Nabawi untuk menampung lebih banyak jamaah;ilmu nahwu untuk memahami Al-Qur'an;kota Kufah untuk pusat pemerintahan;kalender hijriyah untuk keperluan ibadah","masjid Nabawi untuk menampung lebih banyak jamaah"
60,"Asmaul Husna Al-Latif berarti Allah yang… .","Maha Pengampun terhadap dosa hamba-Nya;Maha Lembut dan mengetahui hal-hal tersembunyi;Maha Kuasa atas segala ciptaan;Maha Pengasih dalam memberikan nikmat","Maha Lembut dan mengetahui hal-hal tersembunyi"
61,"Dalam Q.S. Al-A'la ayat 15, ""وَذَكَرَ اسْمَ رَبِّهِ فَصَلَّىٰ"" menunjukkan hubungan antara… .","berpuasa untuk mendekatkan diri kepada Allah;berhaji sebagai puncak ibadah;berzikir kepada Allah dan melaksanakan salat;bersedekah untuk membantu fakir miskin","berzikir kepada Allah dan melaksanakan salat"
62,"Hibah dalam Islam adalah… .","pemberian untuk kepentingan umum masyarakat;pemberian wajib kepada 8 golongan mustahik;pemberian sukarela untuk mempererat hubungan;pemberian untuk membiayai ibadah haji","pemberian sukarela untuk mempererat hubungan"
63,"Mukjizat Nabi Musa a.s. yang membelah laut bertujuan untuk… .","menyelamatkan Bani Israil dari kejaran Firaun;membuat jalan baru untuk perdagangan;menghentikan banjir besar di Mesir;membuktikan kebenaran kenabian kepada kaumnya","menyelamatkan Bani Israil dari kejaran Firaun"
64,"Huruf hijaiyah ""tha"" keluar dari… .","ujung lidah yang menyentuh gigi atas;bibir bawah yang menyentuh gigi atas;rongga hidung dengan getaran suara;tenggorokan bagian dalam (halq)","ujung lidah yang menyentuh gigi atas"
65,"Wudu wajib dilakukan sebelum melaksanakan… .","berdoa setelah makan atau minum;tidur agar mimpi menjadi baik;membaca Al-Qur'an dengan tartil;salat fardu untuk menghilangkan hadas kecil","salat fardu untuk menghilangkan hadas kecil"
66,"Khalifah Abu Bakar berjasa dalam… .","memerangi kaum murtad untuk menjaga keutuhan Islam;membentuk angkatan laut untuk ekspansi;menyusun kalender Hijriyah untuk ibadah;menyatukan mushaf Al-Qur'an untuk mencegah hilangnya ayat","memerangi kaum murtad untuk menjaga keutuhan Islam"
67,"Perhatikan potongan ayat: خَلَقَ الْإِنْسَانَ مِنْ عَلَقٍ (Al-'Alaq: 2) Hukum nun mati pada ""مِنْ عَلَقٍ"" adalah...","Idgham bighunnah karena nun sukun bertemu ya;Mad thabi'i karena ya setelah kasrah;Ikhfa karena nun sukun bertemu sin;Izhar halqi karena nun sukun bertemu 'ain","Izhar halqi karena nun sukun bertemu 'ain"
68,"Akhlak terpuji menurut Islam ditunjukkan dengan… .","menghindari ibadah untuk kesenangan;menjaga amanah dan berkata jujur;menyakiti orang lain demi keuntungan;berbohong untuk menghindari konflik","menjaga amanah dan berkata jujur"
69,"Lingkungan biotik yang harus dijaga menurut Islam mencakup… .","air, udara, dan sinar matahari;bangunan, jalan, dan kendaraan;manusia, hewan, dan tumbuhan;benda mati seperti batu dan pasir","manusia, hewan, dan tumbuhan"
70,"Hukum tajwid pada kata ""مِنْ قَبْلِ"" adalah… .","idgham bilaghunnah karena ba sukun bertemu lam;qolqolah karena ada ba sukun;izhar karena nun sukun bertemu qaf;iqlab karena nun sukun bertemu ba","qolqolah karena ada ba sukun"
71,"Puasa Syawal dilakukan selama… .","6 hari berturut-turut setelah Idulfitri;3 hari setiap bulan kamariah;9 hari sebelum hari Arafah;10 hari pada awal Muharram","6 hari berturut-turut setelah Idulfitri"
72,"Huruf hijaiyah yang dibaca tebal (tafkhim) saat berharakat fathah adalah… .","nun, karena memiliki sifat ghunnah;ra, kecuali dalam kondisi tarqiq;kaf, karena keluar dari tenggorokan;lam, karena selalu dibaca tebal","ra, kecuali dalam kondisi tarqiq"
73,"Halal menurut ajaran Islam adalah ... .","sesuatu yang wajib dilakukan setiap hari;sesuatu yang makruh karena sulit dilakukan;sesuatu yang diperbolehkan oleh syariat;sesuatu yang dilarang karena merugikan","sesuatu yang diperbolehkan oleh syariat"
74,"Hikmah menjaga lingkungan menurut Islam adalah… .","merusak keindahan alam untuk keuntungan;mengurangi kesehatan masyarakat sekitar;menjaga keseimbangan ekosistem sebagai amanah Allah;meningkatkan polusi untuk pembangunan","menjaga keseimbangan ekosistem sebagai amanah Allah"
75,"Asmaul Husna Al-Khaliq berarti Allah yang… .","Maha Tunggal tanpa bandingan;Maha Pengampun terhadap dosa hamba;Maha Pencipta segala sesuatu dari ketiadaan;Maha Penyayang kepada makhluk-Nya","Maha Pencipta segala sesuatu dari ketiadaan"
76,"Dalam Q.S. Al-Baqarah ayat 83, ""وَإِذْ أَخَذْنَا مِيثَاقَ بَنِي إِسْرَائِيلَ"" mengajarkan tentang… .","perjanjian Bani Israil untuk taat kepada Allah;perintah melaksanakan salat lima waktu;keutamaan berpuasa di bulan Ramadan;kisah Nabi Adam dan pengampunan Allah","perjanjian Bani Israil untuk taat kepada Allah"
77,"Rukun puasa wajib yang harus dilakukan adalah… .","mengucapkan niat di malam hari;membaca Al-Qur'an setiap malam;menghafal Asmaul Husna sebelum puasa;mengucapkan hamdalah setelah berbuka","mengucapkan niat di malam hari"
78,"Aisyah ingin membayar zakat fitrah untuk dirinya adiknya dan kedua orang tuanya. Jika ia hanya memiliki Rp100.000, dan harga 1 kg beras adalah Rp10.000, apakah uangnya cukup? (uang sebagai pembayaran)","Tidak cukup, kekurangan Rp5.000;Tidak cukup, kekurangan Rp2.500;Cukup pas;Masih sisa Rp2.500","Cukup pas"
79,"Hukum tajwid Surah Al-Falaq ayat 3: وَمِنْ شَرِّ غَاسِقٍ إِذَا وَقَبَ Qalqolah terdapat pada huruf...","Ba dalam ""وَقَبَ"";Tidak ada;Qaf dalam ""غَاسِقٍ"";Syin) dalam ""شَرِّ""","Ba dalam ""وَقَبَ"""
80,"Hikmah salat menurut Q.S. Al-Ankabut ayat 45 adalah… .","mencegah perbuatan keji dan mungkar;mengurangi ketakwaan kepada Allah;menjauhkan dari nikmat Allah;meningkatkan kemalasan dalam ibadah","mencegah perbuatan keji dan mungkar"
81,"Khalifah Umar bin Khattab berjasa dalam… .","menulis ilmu nahwu untuk Al-Qur'an;memperluas Masjidil Haram di Makkah;menyusun mushaf Al-Qur'an secara resmi;membentuk sistem perbendaharaan negara","membentuk sistem perbendaharaan negara"
82,"Asmaul Husna Al-Muhaimin berarti Allah yang… .","Maha Penyayang kepada yang taat;Maha Pengampun terhadap dosa hamba;Maha Pengasih terhadap semua makhluk;Maha Pengawas atas segala perbuatan","Maha Pengawas atas segala perbuatan"
83,"Hukum tajwid pada kata ""لَمْ يَلِدْ وَلَمْ يُولَدْ"" dalam Q.S. Al-Ikhlash ayat 3 adalah… .","idgham bighunnah karena nun sukun bertemu lam;izhar syafawi karena mim sukun bertemu ya;mad arid lissukun karena huruf mad diikuti huruf yang dibaca sukun;ikhfa syafawi karena mim sukun bertemu ba","izhar syafawi karena mim sukun bertemu ya"
84,"Sedekah dalam Islam adalah… .","pemberian wajib kepada 8 golongan mustahik;pemberian sukarela untuk kebaikan dan pahala;pemberian untuk membiayai ibadah haji;pemberian untuk kepentingan umum masyarakat","pemberian sukarela untuk kebaikan dan pahala"
85,"Nabi Ibrahim a.s. diperintahkan menyembelih putranya, yaitu… .","Nabi Ismail a.s. sebagai ujian keimanan;Nabi Ya'qub a.s. sebagai tanda syukur;Nabi Ishaq a.s. untuk membuktikan ketaatan;Nabi Yusuf a.s. untuk melindungi keluarga","Nabi Ismail a.s. sebagai ujian keimanan"
86,"Huruf hijaiyah ""dzal"" keluar dari… .","tenggorokan bagian dalam (halq);ujung lidah yang menyentuh gigi atas;bibir bawah yang menyentuh gigi atas;rongga hidung dengan getaran suara","ujung lidah yang menyentuh gigi atas"
87,"Syahadat dalam Islam adalah… .","kesaksian bahwa tiada Tuhan selain Allah dan Muhammad utusan-Nya;puji syukur kepada Allah atas segala nikmat;perintah untuk berdakwah kepada umat;doa sebelum memulai kegiatan ibadah","kesaksian bahwa tiada Tuhan selain Allah dan Muhammad utusan-Nya"
88,"Keutamaan puasa Arafah bagi yang tidak sedang haji adalah… .","menghapus dosa kecil selama dua tahun;mengurangi ketakwaan kepada Allah;menjauhkan dari nikmat Allah;menimbulkan kesombongan dalam ibadah","menghapus dosa kecil selama dua tahun"
89,"Asmaul Husna Al-Rahim berarti Allah yang… .","Maha Pencipta segala sesuatu;Maha Pengasih kepada semua makhluk;Maha Penyayang kepada hamba yang beriman;Maha Pengampun terhadap dosa hamba","Maha Penyayang kepada hamba yang beriman"
90,"Dalam Q.S. Al-Ma'un ayat 1, ""أَرَأَيْتَ الَّذِي يُكَذِّبُ بِالدِّينِ"" mengkritik orang yang… .","mengingkari hari kiamat dan tidak berbuat baik;tidak melaksanakan salat lima waktu;tidak bersedekah kepada fakir miskin;tidak berpuasa di bulan Ramadan","mengingkari hari kiamat dan tidak berbuat baik"
91,"Mad thabi'i terjadi jika… .","huruf mad diikuti huruf bertasydid;huruf mad diikuti huruf mad lain dalam satu kata;huruf mad diikuti hamzah dalam satu kata;huruf mad diikuti huruf yang dibaca sukun","huruf mad diikuti huruf mad lain dalam satu kata"
92,"Manfaat menjaga kebersihan diri menurut ajaran Islam adalah… .","menjaga kesehatan tubuh dan mendukung ibadah;merusak lingkungan sekitar rumah;menimbulkan penyakit untuk ujian keimanan;mengurangi kenyamanan dalam kehidupan","menjaga kesehatan tubuh dan mendukung ibadah"
93,"Taubat menurut ajaran Islam adalah… .","melakukan salat sunnah untuk mendekatkan diri;penyesalan sungguh-sungguh dan bertekad tidak mengulangi dosa;membaca Al-Qur'an dengan tartil setiap hari;meminta maaf kepada orang lain atas kesalahan","penyesalan sungguh-sungguh dan bertekad tidak mengulangi dosa"
94,"Puasa Ayyamul Bid dilakukan pada tanggal… .","13, 14, dan 15 setiap bulan kamariah;10 dan 11 Muharram untuk Asyura;9 dan 10 Zulhijjah setiap tahun;6 hari berturut-turut setelah Idulfitri","13, 14, dan 15 setiap bulan kamariah"
95,"Hukum tajwid huruf Ra رِ pada kata سَنُقْرِئُكَ فَلَا تَنسَى (QS. Al-A'la: 6) adalah…","Ikhfa karena nun sukun bertemu sin;Idgham bilaghunnah karena nun sukun bertemu ra;Tarqiq karena harakat pada ra berupa kasroh;Iqlab karena nun sukun bertemu ba","Tarqiq karena harakat pada ra berupa kasroh"
96,"Rukun salat yang harus dilakukan agar salat sah adalah… .","takbiratul ihram dengan niat di hati;mengucapkan hamdalah setelah salat;membaca Al-Qur'an dengan tartil;menghafal Asmaul Husna sebelum salat","takbiratul ihram dengan niat di hati"
97,"Hadis tentang kejujuran menyatakan bahwa… .","kejujuran menuntun seseorang ke surga;kejujuran hanya diperlukan dalam perdagangan;kejujuran membawa kerugian di dunia;kejujuran tidak memengaruhi keimanan","kejujuran menuntun seseorang ke surga"
98,"Akhlak mazmumah adalah perilaku… .","sunnah yang dianjurkan untuk kebaikan;wajib yang harus dilakukan setiap muslim;tercela yang dilarang oleh syariat Islam;terpuji yang sesuai ajaran Rasulullah","tercela yang dilarang oleh syariat Islam"
99,"Khalifah Utsman bin Affan berjasa dalam… .","menyusun kalender Hijriyah untuk ibadah;menstandarisasi mushaf Al-Qur'an untuk umat Islam;menulis ilmu nahwu untuk memahami ayat;membentuk angkatan laut untuk ekspansi","menstandarisasi mushaf Al-Qur'an untuk umat Islam"
100,"فِي قُلُوبِهِم مَّرَضٌ Hukum tajwid pada ayat di atas adalah…","mad thabi'i karena alif setelah fathah;ikhfa syafawi karena mim sukun bertemu ba;izhar syafawi karena mim sukun bertemu ra;idgham mitslain karena mim sukun bertemu mim","idgham mitslain karena mim sukun bertemu mim"
